uf,ano_fluxo,evasao_t,previsao,erro,erro_abs,fold
Maranhão,2022-2023,14.3,15.762837939773942,-1.4628379397739408,1.4628379397739408,2
Mato Grosso,2022-2023,17.9,17.10982770876251,0.7901722912374893,0.7901722912374893,2
Mato Grosso do Sul,2022-2023,17.2,17.19586394076704,0.0041360592329589,0.0041360592329589,2
Minas Gerais,2022-2023,14.5,14.327958385870877,0.17204161412912278,0.17204161412912278,2
Paraná,2022-2023,14.7,14.994144760844877,-0.29414476084487795,0.29414476084487795,2
Paraíba,2022-2023,14.4,16.59143735592569,-2.191437355925691,2.191437355925691,2
Pará,2022-2023,17.6,17.367464616071874,0.232535383928127,0.232535383928127,2
Pernambuco,2022-2023,16.3,16.907295508070735,-0.6072955080707345,0.6072955080707345,2
Piauí,2022-2023,12.3,12.633190777174104,-0.33319077717410295,0.33319077717410295,2
Rio Grande do Norte,2022-2023,22.2,14.912826075990331,7.287173924009668,7.287173924009668,2
Rio Grande do Sul,2022-2023,18.8,16.959808376782732,1.8401916232172688,1.8401916232172688,2
Rio de Janeiro,2022-2023,14.1,14.154597831042206,-0.054597831042206835,0.054597831042206835,2
Rondônia,2022-2023,18.9,17.305585064757945,1.5944149352420531,1.5944149352420531,2
Roraima,2022-2023,21.9,17.305585064757945,4.594414935242053,4.594414935242053,2
Santa Catarina,2022-2023,18.3,17.305585064757945,0.9944149352420553,0.9944149352420553,2
Sergipe,2022-2023,15.8,14.915301723517095,0.8846982764829061,0.8846982764829061,2
São Paulo,2022-2023,15.9,17.134846656031044,-1.2348466560310438,1.2348466560310438,2
Tocantins,2022-2023,17.3,14.08713099765295,3.21286900234705,3.21286900234705,2
Acre,2023-2024,17.6,17.561861176297214,0.03813882370278776,0.03813882370278776,3
Alagoas,2023-2024,17.3,16.51865324368776,0.7813467563122423,0.7813467563122423,3
Amapá,2023-2024,19.1,17.757794703549155,1.342205296450846,1.342205296450846,3
Amazonas,2023-2024,20.9,16.912354531962247,3.9876454680377513,3.9876454680377513,3
Bahia,2023-2024,17.5,16.56417632062835,0.9358236793716515,0.9358236793716515,3
Ceará,2023-2024,17.1,16.408486737160597,0.6915132628394041,0.6915132628394041,3
Distrito Federal,2023-2024,16.9,14.789925301174819,2.11007469882518,2.11007469882518,3
Espírito Santo,2023-2024,19.2,15.657596772464336,3.5424032275356634,3.5424032275356634,3
Goiás,2023-2024,19.6,16.286543242290918,3.3134567577090834,3.3134567577090834,3
Maranhão,2023-2024,17.5,15.531258866072092,1.9687411339279084,1.9687411339279084,3
Mato Grosso,2023-2024,18.5,17.13325638221007,1.366743617789929,1.366743617789929,3
Mato Grosso do Sul,2023-2024,20.1,16.414480605058987,3.6855193949410143,3.6855193949410143,3
Minas Gerais,2023-2024,17.3,16.9165034014501,0.38349659854990037,0.38349659854990037,3
Paraná,2023-2024,15.9,16.39230819407251,-0.4923081940725087,0.4923081940725087,3
Paraíba,2023-2024,13.0,15.511451513548202,-2.5114515135482023,2.5114515135482023,3
Pará,2023-2024,17.6,16.82603805055684,0.7739619494431622,0.7739619494431622,3
Pernambuco,2023-2024,15.3,15.346182758787823,-0.046182758787821854,0.046182758787821854,3
Piauí,2023-2024,11.6,12.864103509545572,-1.2641035095455724,1.2641035095455724,3
Rio Grande do Norte,2023-2024,15.0,17.418354151146808,-2.418354151146808,2.418354151146808,3
Rio Grande do Sul,2023-2024,17.9,17.049738227044347,0.8502617729556512,0.8502617729556512,3
Rio de Janeiro,2023-2024,18.2,14.902637169944509,3.2973628300554907,3.2973628300554907,3
Rondônia,2023-2024,18.8,17.18111666705835,1.6188833329416497,1.6188833329416497,3
Roraima,2023-2024,19.1,18.83457726534596,0.26542273465404165,0.26542273465404165,3
Santa Catarina,2023-2024,20.6,17.254304938356885,3.3456950616431165,3.3456950616431165,3
Sergipe,2023-2024,16.3,15.640509554843842,0.659490445156159,0.659490445156159,3
São Paulo,2023-2024,17.6,15.383303229158562,2.2166967708414393,2.2166967708414393,3
Tocantins,2023-2024,15.1,16.304190048089225,-1.2041900480892256,1.2041900480892256,3
